Year,Listening_Skill,Clarity_of_Speech,Agent_Enthusiasm,Agent_Empathy,Identified_Customer,Provided_Accurate_Info,Average_Handling_Time,Customer_Satisfaction,Calls_Handled
2018,4,1,5,1,No,Yes,2.5612585653611517,2,96
2018,2,4,2,5,Yes,No,4.142592604482683,3,61
2018,4,5,5,3,Yes,Yes,3.712474054909305,1,70
2018,2,4,2,3,Yes,No,11.437738829808842,4,60
2018,2,2,3,1,Yes,Yes,12.631209288140287,4,141
2018,4,2,3,4,No,No,4.775647762038735,5,54
2018,5,5,5,2,Yes,Yes,8.576085008373777,1,130
2018,2,4,5,3,Yes,Yes,12.9291393641456,3,105
2018,2,1,2,3,Yes,Yes,11.526420081961257,4,69
2018,4,5,4,4,Yes,Yes,9.049083671394028,1,90
2018,2,2,2,4,Yes,Yes,9.674519975964047,4,95
2018,2,2,5,5,Yes,Yes,8.608687109911639,3,61
2018,4,5,5,5,Yes,Yes,5.868129867144667,4,119
2018,4,4,1,2,Yes,Yes,9.34528590716721,5,66
2018,1,2,5,2,No,Yes,10.955508926651179,5,68
2018,5,4,1,1,Yes,Yes,13.3531979061905,4,75
2018,5,2,4,5,Yes,Yes,10.271787601730225,1,97
2018,2,2,2,3,No,Yes,11.894579981561053,1,101
2018,5,3,2,5,Yes,Yes,4.080931254409449,1,145
2018,2,2,1,3,No,Yes,8.000247167457267,4,119
2018,1,1,2,4,Yes,Yes,2.1213110577522127,1,104
2018,4,5,5,5,Yes,Yes,5.206825238781099,3,149
2018,4,5,3,4,Yes,Yes,11.444002296469062,5,124
2018,4,4,1,2,Yes,Yes,14.893529367541724,3,82
2018,5,2,2,2,Yes,Yes,3.289315294633807,1,111
2018,1,1,1,1,Yes,Yes,7.219426106196748,3,137
2018,5,4,1,5,Yes,Yes,12.400922593089074,1,72
2018,5,3,3,4,Yes,Yes,4.6524632501756855,4,64
2018,1,4,5,3,Yes,No,9.216104340929721,3,76
2018,1,4,1,2,No,Yes,11.529926848385772,4,124
2018,1,2,2,2,No,Yes,10.007810853382328,4,113
2018,1,3,4,3,No,Yes,4.44432155000041,2,130
2018,4,4,1,4,Yes,Yes,6.619999392914613,1,100
2018,3,1,1,4,Yes,Yes,12.189293198310164,5,102
2018,3,1,3,5,Yes,No,9.204944683716217,1,127
2018,1,5,5,5,Yes,Yes,2.0679849760578657,5,140
2018,3,3,4,1,Yes,Yes,11.89287988036522,1,131
2018,3,3,2,2,Yes,No,2.459047614223108,4,141
2018,1,5,4,5,Yes,Yes,11.694539175506018,3,100
2018,3,4,2,4,Yes,Yes,4.632247282148086,3,96
2018,5,3,5,3,Yes,Yes,14.454955241551943,2,53
2018,2,1,2,4,Yes,Yes,6.783229766927098,5,56
2018,2,1,3,2,Yes,Yes,6.2501110123950285,5,84
2018,1,2,3,4,No,No,3.935544654321781,5,97
2019,4,3,3,1,Yes,Yes,5.972854801372794,4,122
2019,1,4,3,2,Yes,Yes,13.396459903766607,5,121
2019,4,5,4,3,Yes,Yes,14.952346389154215,3,94
2019,2,5,5,1,Yes,Yes,6.788023896589029,4,130
2019,1,4,2,2,Yes,Yes,7.831938202409053,1,130
2019,5,2,2,3,Yes,Yes,11.386922196635581,5,146
2019,3,5,3,1,Yes,Yes,13.520545146045968,5,145
2019,4,3,3,1,Yes,Yes,9.709576344428193,1,121
2019,3,2,1,2,Yes,Yes,7.0898340763117815,5,68
2019,3,3,5,5,Yes,Yes,7.364083931032109,1,112
2019,1,1,4,1,No,Yes,11.04303590445849,4,87
2019,3,2,2,1,Yes,Yes,2.041837426855623,3,116
2019,5,5,1,3,Yes,Yes,10.054661386977928,1,108
2019,3,2,1,4,No,No,6.621409135737646,2,118
2019,1,2,2,2,Yes,Yes,12.324565306602095,1,62
2019,5,2,4,2,Yes,Yes,3.208878317700718,5,96
2019,2,2,1,5,Yes,Yes,9.646629470329078,4,110
2019,3,3,1,5,Yes,Yes,8.25264756851961,4,80
2019,1,1,5,2,No,Yes,10.350231836767957,1,129
2019,2,4,4,5,Yes,Yes,2.8430967282785886,3,145
2019,2,2,1,3,No,Yes,9.539789236565706,2,71
2019,4,5,4,2,Yes,Yes,9.299299643473809,4,142
2019,5,2,2,5,Yes,Yes,9.288581227410223,5,135
2019,3,5,3,2,Yes,Yes,9.845339665753912,5,92
2019,1,3,1,4,Yes,No,10.794083183942709,3,116
2019,4,5,5,1,Yes,Yes,12.464856995850006,4,103
2019,5,4,2,2,No,Yes,5.507669361666786,1,59
2019,4,1,4,1,Yes,Yes,12.725642332340806,5,91
2019,5,5,2,5,No,Yes,8.477323869424897,3,113
2019,5,5,1,1,Yes,Yes,3.0017576287463053,4,70
2019,3,1,4,2,No,Yes,2.7611620801717294,4,129
2019,5,4,3,4,Yes,No,6.345098143048791,4,125
2019,4,2,2,5,Yes,Yes,12.203660702449078,4,115
2019,5,5,1,2,No,Yes,11.199852151631905,4,90
2019,3,1,5,5,Yes,Yes,12.251994540741284,5,73
2019,3,3,4,3,Yes,Yes,8.724497733740922,3,84
2019,4,1,2,1,Yes,Yes,7.722586973421377,4,105
2019,2,3,2,3,Yes,Yes,3.916882847181691,2,79
2019,2,4,3,2,No,Yes,6.2665057969210505,2,106
2019,5,2,3,4,Yes,No,7.642251760260378,3,143
2019,1,1,5,5,Yes,Yes,3.151805585835024,1,96
2019,5,5,5,1,Yes,Yes,4.867955385245747,1,84
2019,4,4,1,5,Yes,Yes,9.776928822828605,1,68
2019,4,1,1,2,Yes,Yes,11.563620485109467,2,57
2019,4,5,5,5,Yes,Yes,14.978517648108346,1,75
2019,4,1,5,1,Yes,Yes,14.13047330746625,5,120
2019,4,3,4,2,Yes,Yes,10.35334759395749,4,79
2019,3,1,3,5,Yes,Yes,7.476224692822936,2,56
2019,2,1,1,4,Yes,Yes,10.270305741207025,3,116
2019,4,1,3,2,Yes,Yes,12.213471035043016,3,114
2020,1,4,3,2,Yes,No,3.5383704820040354,4,85
2020,1,1,5,4,Yes,Yes,7.328763566051747,2,74
2020,1,5,4,3,Yes,Yes,12.917429713263024,1,86
2020,1,3,2,1,Yes,Yes,6.989828375129572,1,50
2020,3,3,4,3,Yes,Yes,9.434339525953426,5,64
2020,1,1,4,5,Yes,Yes,9.641001691208576,5,86
2020,4,4,3,4,Yes,No,4.398191290737312,1,62
2020,5,4,4,3,Yes,Yes,6.709060741479749,3,57
2020,1,5,1,2,Yes,Yes,6.348646753645118,3,54
2020,3,1,3,5,Yes,Yes,2.340557210916842,5,109
2020,3,3,1,5,Yes,Yes,2.314492930587618,4,122
2020,1,4,2,3,No,Yes,12.812061567785054,1,50
2020,5,1,3,3,Yes,Yes,5.5499205296465615,5,85
2020,1,4,2,4,Yes,No,8.7350239611046,5,84
2020,3,4,3,1,Yes,Yes,5.88343245665405,1,115
2020,2,3,5,3,Yes,Yes,14.228830186499426,1,112
2020,4,2,4,3,Yes,Yes,5.370857865255059,3,72
2020,3,5,5,2,No,Yes,7.585538565606156,4,58
2020,1,5,2,5,Yes,Yes,13.345493256299823,4,83
2020,4,3,4,1,Yes,Yes,12.945136368293513,1,95
2020,1,4,3,2,Yes,Yes,4.419318432001605,2,127
2020,1,1,4,4,Yes,Yes,12.434363027344235,5,53
2020,2,4,1,4,Yes,Yes,7.956429527592604,5,79
2020,4,3,4,3,Yes,Yes,8.278595337109618,1,144
2020,4,5,1,3,Yes,No,3.735239641407269,2,124
2020,2,4,4,4,Yes,Yes,3.0478196788426204,3,148
2020,3,5,1,3,Yes,Yes,11.463210990658947,1,121
2020,1,1,2,1,Yes,Yes,8.453994980618898,1,52
2020,5,5,5,3,Yes,No,7.679059133997335,5,63
2020,1,5,3,5,Yes,No,11.483606972481157,1,109
2020,1,2,4,3,Yes,Yes,11.951667686884427,1,126
2020,3,2,5,2,Yes,Yes,4.065806179701596,1,94
2020,1,2,3,1,Yes,Yes,9.932926943209337,5,145
2020,2,5,3,2,Yes,Yes,3.759603069609912,3,83
2020,2,3,1,2,No,Yes,11.767876118377593,3,94
2020,4,5,2,5,Yes,Yes,10.540417031472813,1,110
2020,5,3,2,1,Yes,Yes,14.435990074084954,5,132
2020,1,3,5,1,Yes,Yes,2.8964542126334756,3,65
2020,1,2,2,1,Yes,Yes,2.741711374966306,3,115
2020,3,4,4,1,Yes,Yes,5.668431971011602,3,89
2020,2,1,2,1,Yes,Yes,5.402173888566778,5,66
2020,5,2,5,5,No,Yes,5.210724387935998,5,83
2020,4,2,2,3,Yes,Yes,13.781309546773477,1,65
2020,2,4,4,2,Yes,Yes,5.2441005980435795,4,109
2020,4,1,1,1,Yes,Yes,5.535346439672203,3,115
2020,3,5,5,3,No,No,11.872177411433528,4,115
2020,3,5,1,3,Yes,Yes,7.84661795185702,5,139
2020,1,2,1,2,No,Yes,12.097237240417355,5,62
2020,5,1,1,5,Yes,Yes,2.849760048337008,5,105
2020,4,2,3,4,No,Yes,8.338425517753997,4,80
2021,2,3,3,4,Yes,Yes,2.436976802382674,5,83
2021,3,2,1,3,No,Yes,2.8144916449196087,1,88
2021,1,2,5,2,Yes,No,13.783686893477343,5,116
2021,1,5,4,4,No,Yes,3.810189824528737,2,57
2021,4,5,4,3,Yes,No,8.921468869577822,4,136
2021,3,5,2,5,Yes,No,7.344242833809185,2,127
2021,5,3,5,4,Yes,Yes,6.515463241364955,5,104
2021,3,5,3,3,Yes,No,13.697833493934542,1,76
2021,4,1,1,3,Yes,Yes,2.2837041580813633,3,142
2021,4,4,2,1,Yes,Yes,10.629265920282657,5,102
2021,3,1,4,5,Yes,Yes,14.524127644776156,1,88
2021,4,1,3,1,Yes,No,9.282186385003946,4,114
2021,3,5,3,2,No,No,14.178692006430193,2,66
2021,2,4,1,1,Yes,Yes,2.6793524307183088,2,79
2021,3,4,4,1,No,Yes,7.444313147964098,2,102
2021,3,4,5,4,Yes,Yes,5.382051282506665,4,62
2021,4,3,3,3,Yes,Yes,11.500672544749488,1,70
2021,4,5,1,5,Yes,Yes,14.756862176464207,4,68
2021,1,4,5,1,Yes,Yes,5.334890811775221,2,102
2021,1,3,4,5,Yes,Yes,10.504269819162968,5,68
2021,2,2,3,1,Yes,Yes,4.575269225876622,3,106
2021,1,2,5,2,Yes,No,9.349293309430928,4,74
2021,3,3,5,1,Yes,Yes,8.03112232694837,4,135
2021,4,3,5,4,No,Yes,14.636069285209983,1,80
2021,1,5,3,3,No,Yes,9.910854545054065,1,130
2021,1,5,3,2,Yes,No,6.543582837128644,4,104
2021,2,2,2,1,Yes,No,3.4832452035431336,2,72
2021,2,4,4,5,Yes,Yes,3.966208773554149,3,81
2021,3,2,1,2,Yes,Yes,4.929120089366056,1,111
2021,4,4,5,2,Yes,Yes,5.262566597423874,2,123
2021,2,4,2,1,Yes,Yes,13.058008751934791,5,59
2021,1,5,1,2,Yes,Yes,9.295896247672824,1,149
2021,4,1,2,5,No,Yes,8.804081847866764,2,121
2021,4,1,3,2,Yes,Yes,3.491995334299827,2,103
2021,1,3,5,5,Yes,Yes,13.181816013542655,3,101
2021,2,5,1,1,Yes,Yes,11.396585941710288,3,69
2021,1,4,1,3,Yes,Yes,2.879688704700021,5,81
2021,4,1,1,2,Yes,Yes,11.201856263986993,2,63
2021,5,4,1,3,No,No,9.065996825454398,2,99
2021,5,1,1,5,Yes,Yes,3.0624294947081174,3,77
2021,3,1,2,2,No,No,7.957908339872534,1,102
2021,1,1,5,4,Yes,Yes,8.30105173269061,1,73
2021,1,5,3,3,Yes,Yes,4.155069022122585,4,128
2021,3,2,3,2,Yes,Yes,14.29407591100367,3,71
2021,3,4,3,3,Yes,Yes,13.049679829248605,4,79
2021,3,5,3,2,No,Yes,10.697290385278409,3,112
2021,4,5,2,1,No,Yes,8.009842293007893,5,53
2021,1,5,4,3,Yes,Yes,7.352952040598611,2,126
2021,4,5,5,4,Yes,Yes,10.462655072962404,5,108
2021,3,5,1,4,Yes,Yes,9.090614302289772,3,136
2022,1,3,4,5,No,Yes,2.809550376464513,2,57
2022,4,4,3,2,Yes,Yes,8.662534434014312,1,131
2022,4,5,4,3,Yes,Yes,12.483247024026912,1,61
2022,3,4,5,5,Yes,Yes,7.970118408760455,4,80
2022,1,3,1,3,Yes,Yes,2.6754355082054895,3,127
2022,3,3,1,2,Yes,No,12.22161659199243,3,83
2022,1,4,5,4,Yes,Yes,4.617729167767667,1,131
2022,5,1,5,1,No,Yes,5.362070853544504,5,147
2022,2,2,3,4,Yes,No,4.141182594619846,2,124
2022,2,1,1,5,Yes,Yes,6.292795843329468,5,125
2022,2,1,4,1,No,Yes,11.837769573952256,5,98
2022,3,1,2,5,Yes,Yes,8.752016173551185,1,128
2022,5,5,2,2,No,Yes,4.663456563959263,1,106
2022,1,3,5,1,Yes,Yes,13.411791015976531,1,144
2022,4,1,3,5,Yes,Yes,13.434564114369879,4,142
2022,1,3,2,2,No,Yes,13.31751952559809,5,75
2022,4,4,1,4,Yes,Yes,5.1043507479600105,3,67
2022,1,2,5,2,Yes,No,7.866111474352845,2,145
2022,5,4,4,3,Yes,Yes,14.804865529831376,4,135
2022,4,4,5,2,Yes,Yes,12.036162192029876,3,87
2022,3,5,4,2,Yes,Yes,2.3531764759322775,5,130
2022,1,2,5,3,Yes,Yes,2.8476596863863968,1,136
2022,1,4,5,5,No,Yes,8.031107898560325,5,137
2022,4,4,5,5,Yes,Yes,13.819862676200282,2,99
2022,3,2,4,2,Yes,Yes,9.003123373385286,4,57
2022,3,2,4,3,Yes,No,8.471562604445772,4,90
2022,5,4,5,3,Yes,Yes,3.3711580994361974,2,55
2022,3,2,2,4,Yes,Yes,10.538141361415823,3,118
2022,3,4,3,5,No,Yes,12.687341087802931,3,93
2022,3,4,3,1,Yes,Yes,6.9454600975983105,4,113
2022,2,5,3,5,Yes,Yes,12.082954062029257,4,78
2022,5,1,4,5,Yes,Yes,14.538196500710551,1,77
2022,1,4,4,4,Yes,Yes,4.648963968659958,3,60
2022,4,3,2,1,Yes,Yes,8.803285205531637,2,114
2022,1,1,3,4,Yes,Yes,5.732793455099483,3,68
2022,5,1,3,1,No,Yes,12.307107447439911,1,58
2022,4,1,5,2,Yes,Yes,9.508713756455048,4,76
2022,5,5,4,1,Yes,Yes,10.24957142815395,4,83
2022,3,4,3,4,Yes,Yes,12.372884075006622,1,93
2022,4,5,2,5,Yes,Yes,7.147616144611914,2,117
2022,3,4,2,1,Yes,Yes,13.896170889291561,4,149
2022,1,5,3,1,Yes,Yes,8.92937527419982,5,131
2022,1,5,4,3,Yes,Yes,4.0534126968595245,4,64
2022,4,3,2,5,Yes,Yes,11.046688536194432,5,100
2022,4,5,5,2,Yes,No,12.312397555697308,1,62
2022,5,2,2,4,Yes,Yes,6.117901801877847,1,132
2022,5,3,1,2,No,No,13.14333034098379,4,98
2022,3,5,1,5,No,Yes,13.779862311954963,3,119
2022,4,1,4,1,Yes,Yes,5.599758335911516,5,105
2022,1,2,3,1,No,Yes,14.785779145297887,2,125
2023,5,2,4,5,Yes,Yes,3.8292498646338595,4,100
2023,5,2,4,1,Yes,Yes,4.626203689232369,2,86
2023,1,3,4,1,Yes,Yes,4.39492291009434,4,66
2023,5,5,4,1,Yes,Yes,13.621866230102315,3,107
2023,3,5,5,4,Yes,Yes,10.505803180224504,3,136
2023,4,1,5,4,No,Yes,3.9773556818895472,3,139
2023,1,1,2,3,Yes,Yes,7.7242044387885365,3,78
2023,4,2,1,2,Yes,Yes,9.998874325907426,1,82
2023,5,1,4,5,Yes,Yes,3.085033104861983,1,109
2023,5,3,2,5,No,Yes,13.471412789295403,5,140
2023,1,5,1,5,Yes,Yes,12.446845960739957,2,138
2023,3,2,3,3,Yes,Yes,8.567688056496298,4,104
2023,2,1,5,4,Yes,No,14.572645998369216,4,59
2023,1,3,1,3,Yes,No,7.430892730576296,1,96
2023,2,3,3,5,No,Yes,14.793434147474471,4,72
2023,2,1,1,2,No,Yes,10.682959984447152,1,134
2023,3,5,5,1,Yes,Yes,10.25072655230124,5,70
2023,2,1,5,4,No,Yes,4.157413638845205,2,62
2023,2,2,2,4,Yes,Yes,13.465060857960372,5,82
2023,3,1,4,3,No,Yes,7.557365942967997,3,73
2023,2,3,1,4,Yes,Yes,4.109034275172231,3,60
2023,2,1,1,5,Yes,No,2.1638977596848674,3,66
2023,2,5,3,5,Yes,Yes,9.276823887298974,5,117
2023,1,4,5,3,Yes,Yes,8.856195087594791,4,96
2023,1,1,1,5,Yes,Yes,11.35159709079906,2,74
2023,1,5,5,2,Yes,No,13.573354689231428,3,143
2023,3,5,1,3,Yes,Yes,3.032285600359384,3,122
2023,5,3,2,2,Yes,Yes,11.50945437442471,3,70
2023,2,5,4,1,Yes,Yes,4.436355273268569,2,133
2023,2,5,1,2,Yes,Yes,13.156301691043131,3,132
2023,3,5,5,1,No,Yes,12.64782568020153,2,132
2023,2,5,2,1,Yes,Yes,9.030318814812077,3,61
2023,1,2,1,2,Yes,Yes,11.23315638210305,5,86
2023,5,2,3,3,Yes,Yes,6.086551471388729,5,91
2023,4,3,4,5,No,Yes,8.125182686126589,2,66
2023,2,1,1,5,Yes,Yes,12.681279670236131,5,97
2023,1,5,2,1,Yes,Yes,7.97044756325178,2,77
2023,4,1,3,1,No,Yes,6.651377449230743,5,90
2023,5,1,2,3,No,Yes,8.424761814253898,5,148
2023,4,3,2,4,Yes,Yes,12.767240281683838,2,96
2023,1,5,3,2,Yes,No,6.357704615821346,4,67
2023,4,5,2,1,Yes,Yes,4.258900710764669,5,127
2023,3,4,3,5,No,Yes,11.25618226430015,3,148
2023,4,1,1,3,Yes,Yes,12.737716765205063,4,120
2023,2,1,3,2,Yes,Yes,3.3082872208059335,2,62
2023,2,2,3,3,No,Yes,5.118363465827281,4,131
2023,3,4,4,2,Yes,Yes,3.8456358668929207,1,62
2023,1,2,3,2,Yes,Yes,6.523238350568166,1,149
2023,2,2,3,1,Yes,Yes,7.854562725770364,5,80
2023,5,2,1,3,Yes,Yes,11.734742380522984,5,51
